unitId,id,displayOrder,category,unitClass,combatType,species,name,tier,tierNumber,capacityType,capacityCost,baseStrength,baseHealth,goldRevivalCost,silverRevivalCost,icon,bonus_flying,bonus_mounted,bonus_melee,bonus_ranged,bonus_epic,bonus_arachne,bonus_elemental,bonus_beast,bonus_dragon,bonus_giant,bonus_fortification,bonus_siege,bonus_human,bonus_doubleDamage
11,troop-g5-flying-battle-griffin-5,11,troop,GUARDSMAN,FLYING,BEAST,BATTLE GRIFFIN 5,G5,5,LEADERSHIP,20,10000,30000,80,800,assets/unit-icons/troop-g5-flying-battle-griffin-5.jpeg,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0
12,troop-e7-siege-siege-ballistae-7,12,troop,ENGINEER,SIEGE,HUMAN,SIEGE BALLISTAE 7,E7,7,LEADERSHIP,10,8500,51000,40,400,assets/unit-icons/troop-e7-siege-siege-ballistae-7.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0
13,troop-g8-mounted-smiter-1,13,troop,GUARDSMAN,MOUNTED,HUMAN,SMITER 1,G8,8,LEADERSHIP,2,6120,18360,8,80,assets/unit-icons/troop-g8-mounted-smiter-1.jpeg,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,0.05
14,troop-s8-mounted-whitemane-1,14,troop,SPECIALIST,MOUNTED,HUMAN,WHITEMANE 1,S8,8,LEADERSHIP,2,6120,18360,8,80,assets/unit-icons/troop-s8-mounted-whitemane-1.jpeg,0.0,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0
15,troop-g9-ranged-purifier-2,15,troop,GUARDSMAN,RANGED,HUMAN,PURIFIER 2,G9,9,LEADERSHIP,1,5510,16530,4,40,assets/unit-icons/troop-g9-ranged-purifier-2.jpeg,17.17,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,troop-g9-melee-punisher-2,16,troop,GUARDSMAN,MELEE,HUMAN,PUNISHER 2,G9,9,LEADERSHIP,1,5510,16530,4,40,assets/unit-icons/troop-g9-melee-punisher-2.jpeg,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0
17,troop-s9-ranged-legitimist-2,17,troop,SPECIALIST,RANGED,HUMAN,LEGITIMIST 2,S9,9,LEADERSHIP,1,5510,16530,4,40,assets/unit-icons/troop-s9-ranged-legitimist-2.jpeg,8.59,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,troop-s9-melee-duelist-2,18,troop,SPECIALIST,MELEE,HUMAN,DUELIST 2,S9,9,LEADERSHIP,1,5510,16530,4,40,assets/unit-icons/troop-s9-melee-duelist-2.jpeg,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0
19,troop-e6-siege-siege-ballistae-6,19,troop,ENGINEER,SIEGE,HUMAN,SIEGE BALLISTAE 6,E6,6,LEADERSHIP,10,4730,28400,40,400,assets/unit-icons/troop-e6-siege-siege-ballistae-6.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0
20,troop-g7-mounted-mounted-knight-7,20,troop,GUARDSMAN,MOUNTED,HUMAN,MOUNTED KNIGHT 7,G7,7,LEADERSHIP,2,3400,10200,8,80,assets/unit-icons/troop-g7-mounted-mounted-knight-7.jpeg,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15,0.0,0.05
21,troop-s7-mounted-lion-rider-7,21,troop,SPECIALIST,MOUNTED,HUMAN,LION RIDER 7,S7,7,LEADERSHIP,2,3400,10200,8,80,assets/unit-icons/troop-s7-mounted-lion-rider-7.jpeg,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,1.05,0.0
22,troop-g8-ranged-purifier-1,22,troop,GUARDSMAN,RANGED,HUMAN,PURIFIER 1,G8,8,LEADERSHIP,1,3060,9180,4,40,assets/unit-icons/troop-g8-ranged-purifier-1.jpeg,11.45,0.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,troop-g8-melee-punisher-1,23,troop,GUARDSMAN,MELEE,HUMAN,PUNISHER 1,G8,8,LEADERSHIP,1,3060,9180,4,40,assets/unit-icons/troop-g8-melee-punisher-1.jpeg,0.0,6.67,0.0,0.0,0.0,0.0,0.0,13.67,0.0,0.0,0.0,0.0,0.0,0.0
24,troop-s8-ranged-legitimist-1,24,troop,SPECIALIST,RANGED,HUMAN,LEGITIMIST 1,S8,8,LEADERSHIP,1,3060,9180,4,40,assets/unit-icons/troop-s8-ranged-legitimist-1.jpeg,5.72,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,troop-s8-melee-duelist-1,25,troop,SPECIALIST,MELEE,HUMAN,DUELIST 1,S8,8,LEADERSHIP,1,3060,9180,4,40,assets/unit-icons/troop-s8-melee-duelist-1.jpeg,0.0,3.33,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0
26,troop-e5-siege-catapult-5,26,troop,ENGINEER,SIEGE,HUMAN,CATAPULT 5,E5,5,LEADERSHIP,10,2630,15800,40,400,assets/unit-icons/troop-e5-siege-catapult-5.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0
27,troop-g6-mounted-mounted-knight-6,27,troop,GUARDSMAN,MOUNTED,HUMAN,MOUNTED KNIGHT 6,G6,6,LEADERSHIP,2,1900,5700,8,80,assets/unit-icons/troop-g6-mounted-mounted-knight-6.jpeg,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.05
28,troop-s6-mounted-lion-rider-6,28,troop,SPECIALIST,MOUNTED,HUMAN,LION RIDER 6,S6,6,LEADERSHIP,2,1900,5700,8,80,assets/unit-icons/troop-s6-mounted-lion-rider-6.jpeg,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,1.05,0.0
29,troop-s7-flying-vulture-7,29,troop,SPECIALIST,FLYING,HUMAN,VULTURE 7,S7,7,LEADERSHIP,1,1700,5100,4,40,assets/unit-icons/troop-s7-flying-vulture-7.jpeg,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,1.05,0.0
30,troop-g7-ranged-heavy-arbalester-7,30,troop,GUARDSMAN,RANGED,HUMAN,HEAVY ARBALESTER 7,G7,7,LEADERSHIP,1,1700,5100,4,40,assets/unit-icons/troop-g7-ranged-heavy-arbalester-7.jpeg,7.63,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,troop-g7-melee-heavy-halberdier-7,31,troop,GUARDSMAN,MELEE,HUMAN,HEAVY HALBERDIER 7,G7,7,LEADERSHIP,1,1700,5100,4,40,assets/unit-icons/troop-g7-melee-heavy-halberdier-7.jpeg,0.0,4.44,0.0,0.0,0.0,0.0,0.0,9.11,0.0,0.0,0.0,0.0,0.0,0.0
32,troop-s7-melee-heavy-knight-7,32,troop,SPECIALIST,MELEE,HUMAN,HEAVY KNIGHT 7,S7,7,LEADERSHIP,1,1700,5100,4,40,assets/unit-icons/troop-s7-melee-heavy-knight-7.jpeg,0.0,2.22,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,1.05,0.0
33,troop-s7-ranged-deadshot-7,33,troop,SPECIALIST,RANGED,HUMAN,DEADSHOT 7,S7,7,LEADERSHIP,1,1700,5100,4,40,assets/unit-icons/troop-s7-ranged-deadshot-7.jpeg,3.82,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0
34,troop-e4-siege-catapult-4,34,troop,ENGINEER,SIEGE,HUMAN,CATAPULT 4,E4,4,LEADERSHIP,10,1460,8750,40,400,assets/unit-icons/troop-e4-siege-catapult-4.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0
35,troop-g5-mounted-rider-5,35,troop,GUARDSMAN,MOUNTED,HUMAN,RIDER 5,G5,5,LEADERSHIP,2,1050,3150,8,80,assets/unit-icons/troop-g5-mounted-rider-5.jpeg,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.05
36,troop-s5-mounted-lion-rider-5,36,troop,SPECIALIST,MOUNTED,HUMAN,LION RIDER 5,S5,5,LEADERSHIP,2,1050,3150,8,80,assets/unit-icons/troop-s5-mounted-lion-rider-5.jpeg,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,1.05,0.0
37,troop-s6-flying-vulture-6,37,troop,SPECIALIST,FLYING,HUMAN,VULTURE 6,S6,6,LEADERSHIP,1,940,2820,4,40,assets/unit-icons/troop-s6-flying-vulture-6.jpeg,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,1.05,0.0
38,troop-g6-ranged-heavy-arbalester-6,38,troop,GUARDSMAN,RANGED,HUMAN,HEAVY ARBALESTER 6,G6,6,LEADERSHIP,1,940,2820,4,40,assets/unit-icons/troop-g6-ranged-heavy-arbalester-6.jpeg,5.09,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,troop-g6-melee-heavy-halberdier-6,39,troop,GUARDSMAN,MELEE,HUMAN,HEAVY HALBERDIER 6,G6,6,LEADERSHIP,1,940,2820,4,40,assets/unit-icons/troop-g6-melee-heavy-halberdier-6.jpeg,0.0,2.96,0.0,0.0,0.0,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0
40,troop-s6-melee-heavy-knight-6,40,troop,SPECIALIST,MELEE,HUMAN,HEAVY KNIGHT 6,S6,6,LEADERSHIP,1,940,2820,4,40,assets/unit-icons/troop-s6-melee-heavy-knight-6.jpeg,0.0,1.48,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,1.05,0.0
41,troop-s6-ranged-deadshot-6,41,troop,SPECIALIST,RANGED,HUMAN,DEADSHOT 6,S6,6,LEADERSHIP,1,940,2820,4,40,assets/unit-icons/troop-s6-ranged-deadshot-6.jpeg,2.54,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0
42,troop-e3-siege-catapult-3,42,troop,ENGINEER,SIEGE,HUMAN,CATAPULT 3,E3,3,LEADERSHIP,10,810,4860,40,400,assets/unit-icons/troop-e3-siege-catapult-3.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0
43,troop-g4-mounted-rider-4,43,troop,GUARDSMAN,MOUNTED,HUMAN,RIDER 4,G4,4,LEADERSHIP,2,580,1740,8,80,assets/unit-icons/troop-g4-mounted-rider-4.jpeg,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.05
44,troop-g5-ranged-archer-5,44,troop,GUARDSMAN,RANGED,HUMAN,ARCHER 5,G5,5,LEADERSHIP,1,520,1560,4,40,assets/unit-icons/troop-g5-ranged-archer-5.jpeg,3.39,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,troop-g5-melee-spearman-5,45,troop,GUARDSMAN,MELEE,HUMAN,SPEARMAN 5,G5,5,LEADERSHIP,1,520,1560,4,40,assets/unit-icons/troop-g5-melee-spearman-5.jpeg,0.0,1.97,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0
46,troop-s5-melee-swordsman-5,46,troop,SPECIALIST,MELEE,HUMAN,SWORDSMAN 5,S5,5,LEADERSHIP,1,520,1560,4,40,assets/unit-icons/troop-s5-melee-swordsman-5.jpeg,0.0,0.99,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,1.05,0.0
47,troop-s5-flying-vulture-5,47,troop,SPECIALIST,FLYING,HUMAN,VULTURE 5,S5,5,LEADERSHIP,1,520,1560,4,40,assets/unit-icons/troop-s5-flying-vulture-5.jpeg,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,1.05,0.0
48,troop-s5-ranged-deadshot-5,48,troop,SPECIALIST,RANGED,HUMAN,DEADSHOT 5,S5,5,LEADERSHIP,1,520,1560,4,40,assets/unit-icons/troop-s5-ranged-deadshot-5.jpeg,1.7,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0
49,troop-e2-siege-catapult-2,49,troop,ENGINEER,SIEGE,HUMAN,CATAPULT 2,E2,2,LEADERSHIP,10,450,2700,40,400,assets/unit-icons/troop-e2-siege-catapult-2.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0
50,troop-g3-mounted-rider-3,50,troop,GUARDSMAN,MOUNTED,HUMAN,RIDER 3,G3,3,LEADERSHIP,2,320,960,8,80,assets/unit-icons/troop-g3-mounted-rider-3.jpeg,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.05
51,troop-g4-ranged-archer-4,51,troop,GUARDSMAN,RANGED,HUMAN,ARCHER 4,G4,4,LEADERSHIP,1,290,870,4,40,assets/unit-icons/troop-g4-ranged-archer-4.jpeg,2.26,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,troop-g4-melee-spearman-4,52,troop,GUARDSMAN,MELEE,HUMAN,SPEARMAN 4,G4,4,LEADERSHIP,1,290,870,4,40,assets/unit-icons/troop-g4-melee-spearman-4.jpeg,0.0,1.32,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
53,troop-s4-melee-swordsman-4,53,troop,SPECIALIST,MELEE,HUMAN,SWORDSMAN 4,S4,4,LEADERSHIP,1,290,870,4,40,assets/unit-icons/troop-s4-melee-swordsman-4.jpeg,0.0,0.66,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,1.05,0.0
54,troop-e1-siege-catapult-1,54,troop,ENGINEER,SIEGE,HUMAN,CATAPULT 1,E1,1,LEADERSHIP,10,250,1500,40,400,assets/unit-icons/troop-e1-siege-catapult-1.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0
55,troop-g2-mounted-rider-2,55,troop,GUARDSMAN,MOUNTED,HUMAN,RIDER 2,G2,2,LEADERSHIP,2,180,540,8,80,assets/unit-icons/troop-g2-mounted-rider-2.jpeg,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.05
56,troop-g3-ranged-archer-3,56,troop,GUARDSMAN,RANGED,HUMAN,ARCHER 3,G3,3,LEADERSHIP,1,160,480,4,40,assets/unit-icons/troop-g3-ranged-archer-3.jpeg,1.51,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,troop-g3-melee-spearman-3,57,troop,GUARDSMAN,MELEE,HUMAN,SPEARMAN 3,G3,3,LEADERSHIP,1,160,480,4,40,assets/unit-icons/troop-g3-melee-spearman-3.jpeg,0.0,0.88,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
58,troop-s3-melee-swordsman-3,58,troop,SPECIALIST,MELEE,HUMAN,SWORDSMAN 3,S3,3,LEADERSHIP,1,160,480,4,40,assets/unit-icons/troop-s3-melee-swordsman-3.jpeg,0.0,0.44,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,1.05,0.0
59,troop-g1-mounted-rider-1,59,troop,GUARDSMAN,MOUNTED,HUMAN,RIDER 1,G1,1,LEADERSHIP,2,100,300,8,80,assets/unit-icons/troop-g1-mounted-rider-1.jpeg,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.05
60,troop-g2-ranged-archer-2,60,troop,GUARDSMAN,RANGED,HUMAN,ARCHER 2,G2,2,LEADERSHIP,1,90,270,4,40,assets/unit-icons/troop-g2-ranged-archer-2.jpeg,1.01,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,troop-g2-melee-spearman-2,61,troop,GUARDSMAN,MELEE,HUMAN,SPEARMAN 2,G2,2,LEADERSHIP,1,90,270,4,40,assets/unit-icons/troop-g2-melee-spearman-2.jpeg,0.0,0.59,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
62,troop-s2-melee-swordsman-2,62,troop,SPECIALIST,MELEE,HUMAN,SWORDSMAN 2,S2,2,LEADERSHIP,1,90,270,4,40,assets/unit-icons/troop-s2-melee-swordsman-2.jpeg,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.05,0.0
63,troop-g1-ranged-archer-1,63,troop,GUARDSMAN,RANGED,HUMAN,ARCHER 1,G1,1,LEADERSHIP,1,50,150,4,40,assets/unit-icons/troop-g1-ranged-archer-1.jpeg,0.67,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,troop-g1-melee-spearman-1,64,troop,GUARDSMAN,MELEE,HUMAN,SPEARMAN 1,G1,1,LEADERSHIP,1,50,150,4,40,assets/unit-icons/troop-g1-melee-spearman-1.jpeg,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
65,troop-s1-melee-swordsman-1,65,troop,SPECIALIST,MELEE,HUMAN,SWORDSMAN 1,S1,1,LEADERSHIP,1,50,150,4,40,assets/unit-icons/troop-s1-melee-swordsman-1.jpeg,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.05,0.0
