id,category,sourceSheet,research,currency,levelCount,highestLevel,levelCosts,totalCost,sourceOrder,sourceRow,dataFlags,researchType
r14,Guardsmen I,Guardsmen I,Spearmen III,Valor Points,1,1,"[8500000,null,null,null,null,null,null,null,null,null]",8500000,14,23,[],Unlock
r15,Guardsmen I,Guardsmen I,Riders III,Valor Points,1,1,"[8500000,null,null,null,null,null,null,null,null,null]",8500000,15,24,[],Unlock
r16,Guardsmen I,Guardsmen I,Guardsmen's March Speed II,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,16,26,[],Unlock
r17,Guardsmen I,Guardsmen I,Captain Doria,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,17,28,[],Unlock
r18,Guardsmen I,Guardsmen I,Guardsmen's Carrying Capacity II,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,18,30,[],Unlock
r19,Guardsmen I,Guardsmen I,Archers IV,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,19,32,[],Unlock
r20,Guardsmen I,Guardsmen I,Spearmen IV,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,20,33,[],Unlock
r21,Guardsmen I,Guardsmen I,Riders IV,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,21,34,[],Unlock
r22,Guardsmen I,Guardsmen I,Guardsmen's training cost III,Valor Points,10,10,"[9600000,19000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2712600000,22,36,[],Unlock
r23,Guardsmen I,Guardsmen I,Guardsmen's March speed III,Valor Points,10,10,"[9600000,19000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2712600000,23,38,[],Unlock
r24,Guardsmen I,Guardsmen I,Guardsmen Carrying Capacity III,Valor Points,10,10,"[9600000,19000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2712600000,24,40,[],Unlock
r25,Guardsmen I,Guardsmen I,Archers V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,25,42,[],Unlock
r26,Guardsmen I,Guardsmen I,Spearmen V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,26,43,[],Unlock
r27,Guardsmen I,Guardsmen I,Riders V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,27,44,[],Unlock
r28,Guardsmen I,Guardsmen I,Battle Griffin V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,28,46,[],Unlock
r29,Guardsmen I,Guardsmen I,Guardsmen's Training Cost IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,29,48,[],Unlock
r30,Guardsmen I,Guardsmen I,Captain Brunhild,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,30,50,[],Unlock
r31,Guardsmen I,Guardsmen I,Guardsmen's March Speed IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,31,52,[],Unlock
r32,Guardsmen I,Guardsmen I,Guardsmen's Carrying Capacity IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,32,54,[],Unlock
r33,Guardsmen I,Guardsmen I,Heavy Arbalester VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,33,56,[],Unlock
r34,Guardsmen I,Guardsmen I,Heavy Halberdier VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,34,57,[],Unlock
r35,Guardsmen I,Guardsmen I,Mounted Knight VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,35,58,[],Unlock
r36,Guardsmen I,Guardsmen I,Battle Griffin VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,36,60,[],Unlock
r37,Guardsmen I,Guardsmen I,Guardsmen's Training Cost V,Valor Points,10,10,"[1700000000,3500000000,5200000000,8600000000,16000000000,31000000000,52000000000,78000000000,120000000000,170000000000]",486000000000,37,62,[],Unlock
r38,Guardsmen I,Guardsmen I,Guardsmen's March Speed V,Valor Points,10,10,"[1700000000,3500000000,5200000000,8600000000,16000000000,31000000000,52000000000,78000000000,120000000000,170000000000]",486000000000,38,64,[],Unlock
r39,Guardsmen I,Guardsmen I,Guardsmen's Carrying Capacity V,Valor Points,10,10,"[1700000000,3500000000,5200000000,8600000000,16000000000,31000000000,52000000000,78000000000,120000000000,170000000000]",486000000000,39,66,[],Unlock
r40,Guardsmen I,Guardsmen I,Heavy Arbalester VII,Valor Points,1,1,"[90000000000,null,null,null,null,null,null,null,null,null]",90000000000,40,68,[],Unlock
r41,Guardsmen I,Guardsmen I,Heavy Halberdier VII,Valor Points,1,1,"[90000000000,null,null,null,null,null,null,null,null,null]",90000000000,41,69,[],Unlock
r42,Guardsmen I,Guardsmen I,Mounted Knight VII,Valor Points,1,1,"[90000000000,null,null,null,null,null,null,null,null,null]",90000000000,42,70,[],Unlock
r43,Guardsmen I,Guardsmen I,Battle Griffin VII,Valor Points,1,1,"[90000000000,null,null,null,null,null,null,null,null,null]",90000000000,43,72,[],Unlock
r44,Specialists I,Specialists I,Swordsmen I,Conquest Points,1,1,"[150,null,null,null,null,null,null,null,null,null]",150,44,3,[],Unlock
r45,Specialists I,Specialists I,Spies I,Conquest Points,1,1,"[150,null,null,null,null,null,null,null,null,null]",150,45,4,[],Unlock
r46,Specialists I,Specialists I,Specialists' Training Cost I,Conquest Points,10,10,"[150,300,800,1900,3900,9700,19000,39000,100000,190000]",364750,46,6,[],Unlock
r47,Specialists I,Specialists I,Specialists' Carrying Capacity I,Conquest Points,10,10,"[150,300,800,1900,3900,9700,19000,39000,100000,190000]",364750,47,8,[],Unlock
r48,Specialists I,Specialists I,Swordsmen II,Conquest Points,1,1,"[120000,null,null,null,null,null,null,null,null,null]",120000,48,10,[],Unlock
r49,Specialists I,Specialists I,Spies II,Conquest Points,1,1,"[120000,null,null,null,null,null,null,null,null,null]",120000,49,11,[],Unlock
r50,Specialists I,Specialists I,Specialists Training Cost II,Conquest Points,10,10,"[20000,40000,60000,100000,180000,360000,600000,900000,1400000,2000000]",5660000,50,13,[],Unlock
r51,Specialists I,Specialists I,Captain Ye Ho-Sung,Conquest Points,1,1,"[120000,null,null,null,null,null,null,null,null,null]",120000,51,15,[],Unlock
r52,Specialists I,Specialists I,Specialists' March Speed I,Conquest Points,10,10,"[20000,40000,60000,100000,180000,360000,600000,900000,1400000,2000000]",5660000,52,17,[],Unlock
r53,Specialists I,Specialists I,Swordsmen III,Conquest Points,1,1,"[2500000,null,null,null,null,null,null,null,null,null]",2500000,53,19,[],Unlock
r54,Specialists I,Specialists I,Spies III,Conquest Points,1,1,"[2500000,null,null,null,null,null,null,null,null,null]",2500000,54,20,[],Unlock
r55,Specialists I,Specialists I,Specialists' March Speed II,Conquest Points,10,10,"[340000,670000,1000000,1700000,3000000,6000000,10000000,15000000,24000000,34000000]",95710000,55,22,[],Unlock
r56,Specialists I,Specialists I,Captain Dustan,Conquest Points,1,1,"[22000000,null,null,null,null,null,null,null,null,null]",22000000,56,24,[],Unlock
r57,Specialists I,Specialists I,Specialists' Carrying Capacity II,Conquest Points,10,10,"[340000,670000,1000000,1700000,3000000,6000000,10000000,15000000,24000000,34000000]",95710000,57,26,[],Unlock
r58,Specialists I,Specialists I,Swordsmen IV,Conquest Points,1,1,"[22000000,null,null,null,null,null,null,null,null,null]",22000000,58,28,[],Unlock
r59,Specialists I,Specialists I,Spies IV,Conquest Points,1,1,"[22000000,null,null,null,null,null,null,null,null,null]",22000000,59,29,[],Unlock
r60,Specialists I,Specialists I,Specialists' Training Cost III,Conquest Points,10,10,"[3900000,7900000,12000000,20000000,36000000,70000000,120000000,180000000,280000000,390000000]",1119800000,60,31,[],Unlock
r61,Specialists I,Specialists I,Specialists' Carrying Capacity III,Conquest Points,10,10,"[3900000,7900000,12000000,20000000,36000000,70000000,120000000,180000000,280000000,390000000]",1119800000,61,33,[],Unlock
r62,Specialists I,Specialists I,Specialists' March Speed III,Conquest Points,10,10,"[3900000,7900000,12000000,20000000,36000000,70000000,120000000,180000000,280000000,390000000]",1119800000,62,35,[],Unlock
r63,Specialists I,Specialists I,Spies V,Conquest Points,1,1,"[300000000,null,null,null,null,null,null,null,null,null]",300000000,63,37,[],Unlock
r64,Specialists I,Specialists I,Vultures V,Conquest Points,1,1,"[300000000,null,null,null,null,null,null,null,null,null]",300000000,64,38,[],Unlock
r65,Specialists I,Specialists I,Swordsmen V,Conquest Points,1,1,"[300000000,null,null,null,null,null,null,null,null,null]",300000000,65,39,[],Unlock
r66,Specialists I,Specialists I,Deadshots V,Conquest Points,1,1,"[300000000,null,null,null,null,null,null,null,null,null]",300000000,66,40,[],Unlock
r67,Specialists I,Specialists I,Lion Riders V,Conquest Points,1,1,"[300000000,null,null,null,null,null,null,null,null,null]",300000000,67,41,[],Unlock
r68,Specialists I,Specialists I,Specialists' Training Cost IV,Conquest Points,10,10,"[50000000,100000000,150000000,250000000,450000000,870000000,1500000000,2200000000,3400000000,4700000000]",13670000000,68,43,[],Unlock
r69,Specialists I,Specialists I,Specialists' Carrying Capacity IV,Conquest Points,10,10,"[50000000,100000000,150000000,250000000,450000000,870000000,1500000000,2200000000,3400000000,4700000000]",13670000000,69,45,[],Unlock
r70,Specialists I,Specialists I,Specialists' March Speed IV,Conquest Points,10,10,"[50000000,100000000,150000000,250000000,450000000,870000000,1500000000,2200000000,3400000000,4700000000]",13670000000,70,47,[],Unlock
r71,Specialists I,Specialists I,Swift Jaeger VI,Conquest Points,1,1,"[3000000000,null,null,null,null,null,null,null,null,null]",3000000000,71,49,[],Unlock
r72,Specialists I,Specialists I,Vultures VI,Conquest Points,1,1,"[3000000000,null,null,null,null,null,null,null,null,null]",3000000000,72,50,[],Unlock
r73,Specialists I,Specialists I,Deadshots VI,Conquest Points,1,1,"[3000000000,null,null,null,null,null,null,null,null,null]",3000000000,73,51,[],Unlock
r74,Specialists I,Specialists I,Heavy Knight VI,Conquest Points,1,1,"[3000000000,null,null,null,null,null,null,null,null,null]",3000000000,74,52,[],Unlock
r75,Specialists I,Specialists I,Lion Riders VI,Conquest Points,1,1,"[3000000000,null,null,null,null,null,null,null,null,null]",3000000000,75,53,[],Unlock
r76,Specialists I,Specialists I,Specialists Training Cost V,Conquest Points,10,10,"[600000000,1200000000,1800000000,3000000000,5400000000,10400000000,18000000000,26400000000,41000000000,56000000000]",163800000000,76,55,[],Unlock
r77,Specialists I,Specialists I,Specialists' Carrying Capacity V,Conquest Points,10,10,"[600000000,1200000000,1800000000,3000000000,5400000000,10400000000,18000000000,26400000000,41000000000,56000000000]",163800000000,77,57,[],Unlock
r78,Specialists I,Specialists I,Specialists' March Speed V,Conquest Points,10,10,"[600000000,1200000000,1800000000,3000000000,5400000000,10400000000,18000000000,26400000000,41000000000,56000000000]",163800000000,78,59,[],Unlock
r79,Specialists I,Specialists I,Swift Jaeger VII,Conquest Points,1,1,"[30000000000,null,null,null,null,null,null,null,null,null]",30000000000,79,61,[],Unlock
r80,Specialists I,Specialists I,Vultures VII,Conquest Points,1,1,"[30000000000,null,null,null,null,null,null,null,null,null]",30000000000,80,62,[],Unlock
r81,Specialists I,Specialists I,Heavy Knight VII,Conquest Points,1,1,"[30000000000,null,null,null,null,null,null,null,null,null]",30000000000,81,63,[],Unlock
r82,Specialists I,Specialists I,Deadshots VII,Conquest Points,1,1,"[30000000000,null,null,null,null,null,null,null,null,null]",30000000000,82,64,[],Unlock
r83,Specialists I,Specialists I,Lion Riders VII,Conquest Points,1,1,"[30000000000,null,null,null,null,null,null,null,null,null]",30000000000,83,65,[],Unlock
r84,Engineer Corps I,Engineer Corps I,City Walls I,Valor Points,1,1,"[300,null,null,null,null,null,null,null,null,null]",300,84,3,[],Unlock
r85,Engineer Corps I,Engineer Corps I,Catapults I,Valor Points,1,1,"[300,null,null,null,null,null,null,null,null,null]",300,85,4,[],Unlock
r86,Engineer Corps I,Engineer Corps I,Siege Engines' Training Cost I,Valor Points,10,10,"[300,700,1800,4500,8900,22000,45000,90000,220000,450000]",843200,86,6,[],Unlock
r87,Engineer Corps I,Engineer Corps I,Siege Engines' Carrying Capacity I,Valor Points,10,10,"[300,700,1800,4500,8900,22000,45000,90000,220000,450000]",843200,87,8,[],Unlock
r88,Engineer Corps I,Engineer Corps I,City Walls II,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,88,10,[],Unlock
r89,Engineer Corps I,Engineer Corps I,Catapults II,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,89,11,[],Unlock
r90,Engineer Corps I,Engineer Corps I,Siege Engines' Training Cost II,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,90,13,[],Unlock
r91,Engineer Corps I,Engineer Corps I,Captain Brann,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,91,15,[],Unlock
r92,Engineer Corps I,Engineer Corps I,Siege Engines' March Speed I,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,92,17,[],Unlock
r93,Engineer Corps I,Engineer Corps I,City Walls III,Valor Points,1,1,"[8500000,null,null,null,null,null,null,null,null,null]",8500000,93,19,[],Unlock
r94,Engineer Corps I,Engineer Corps I,Catapults III,Valor Points,1,1,"[8500000,null,null,null,null,null,null,null,null,null]",8500000,94,20,[],Unlock
r95,Engineer Corps I,Engineer Corps I,Siege Engines' March Speed II,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,95,22,[],Unlock
r96,Engineer Corps I,Engineer Corps I,Siege Engines' Carrying Capacity II,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,96,24,[],Unlock
r97,Engineer Corps I,Engineer Corps I,City Walls IV,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,97,26,[],Unlock
r98,Engineer Corps I,Engineer Corps I,Catapults IV,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,98,27,[],Unlock
r99,Engineer Corps I,Engineer Corps I,Siege Engines' Training Cost III,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,99,29,[],Unlock
r100,Engineer Corps I,Engineer Corps I,Siege Engines' March Speed III,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,100,31,[],Unlock
r101,Engineer Corps I,Engineer Corps I,Siege Engines' Carrying Capacity III,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,101,33,[],Unlock
r102,Engineer Corps I,Engineer Corps I,City Walls V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,102,35,[],Unlock
r103,Engineer Corps I,Engineer Corps I,Catapults V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,103,36,[],Unlock
r104,Engineer Corps I,Engineer Corps I,Siege Engines' Training Cost IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,104,38,[],Unlock
r105,Engineer Corps I,Engineer Corps I,Siege Engines' March Speed IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,105,40,[],Unlock
r106,Engineer Corps I,Engineer Corps I,Siege Engines' Carrying Capacity IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,106,42,[],Unlock
r107,Engineer Corps I,Engineer Corps I,City Walls VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,107,44,[],Unlock
r108,Engineer Corps I,Engineer Corps I,Ballistae VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,108,45,[],Unlock
r109,Engineer Corps I,Engineer Corps I,Siege Engines' Training Cost V,Valor Points,10,10,"[1700000000,3500000000,5200000000,8600000000,16000000000,31000000000,52000000000,78000000000,120000000000,170000000000]",486000000000,109,47,[],Unlock
r110,Engineer Corps I,Engineer Corps I,Siege Engines' March Speed V,Valor Points,10,10,"[1700000000,3500000000,5200000000,8600000000,16000000000,31000000000,52000000000,78000000000,120000000000,170000000000]",486000000000,110,49,[],Unlock
r111,Engineer Corps I,Engineer Corps I,Siege Engines' Carrying Capacity V,Valor Points,10,10,"[1700000000,3500000000,5200000000,8600000000,16000000000,31000000000,52000000000,78000000000,120000000000,170000000000]",486000000000,111,51,[],Unlock
r112,Engineer Corps I,Engineer Corps I,City Walls VII,Valor Points,1,1,"[90000000000,null,null,null,null,null,null,null,null,null]",90000000000,112,53,[],Unlock
r113,Engineer Corps I,Engineer Corps I,Ballistae VII,Valor Points,1,1,"[90000000000,null,null,null,null,null,null,null,null,null]",90000000000,113,54,[],Unlock
r114,Monsters I,Monsters I,Monsters III,Valor Points,1,1,"[8500000,null,null,null,null,null,null,null,null,null]",8500000,114,3,[],Unlock
r115,Monsters I,Monsters I,Monsters' Cost I,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,115,5,"[""source-total-mismatch""]",Unlock
r116,Monsters I,Monsters I,Monsters' March Speed I,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,116,7,"[""source-total-mismatch""]",Unlock
r117,Monsters I,Monsters I,Monsters' Carrying Capacity I,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,117,9,"[""source-total-mismatch""]",Unlock
r118,Monsters I,Monsters I,Monsters IV,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,118,11,[],Unlock
r119,Monsters I,Monsters I,Monsters' March Speed II,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,119,13,[],Unlock
r120,Monsters I,Monsters I,Monsters' Cost II,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,120,15,[],Unlock
r121,Monsters I,Monsters I,Monsters V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,121,17,[],Unlock
r122,Monsters I,Monsters I,Captain Ingrid,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,122,19,[],Unlock
r123,Monsters I,Monsters I,Monsters' March Speed III,Valor Points,9,10,"[80000000,160000000,240000000,null,720000000,1400000000,2400000000,3600000000,5600000000,8000000000]",22200000000,123,21,"[""missing-level-value""]",Unlock
r124,Monsters I,Monsters I,Monsters' Carrying Capacity II,Valor Points,10,10,"[80000000,160000000,240000000,400000000,720000000,1400000000,2400000000,3600000000,5600000000,8000000000]",22600000000,124,23,[],Unlock
r125,Monsters I,Monsters I,Monsters Cost III,Valor Points,10,10,"[80000000,160000000,240000000,400000000,720000000,1400000000,2400000000,3600000000,5600000000,8000000000]",22600000000,125,25,[],Unlock
r126,Monsters I,Monsters I,Monsters VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,126,27,[],Unlock
r127,Monsters I,Monsters I,Monsters' March Speed IV,Valor Points,10,10,"[960000000,1900000000,2900000000,4800000000,8700000000,16900000000,28900000000,43000000000,67000000000,96000000000]",271060000000,127,29,[],Unlock
r128,Monsters I,Monsters I,Monsters' Carrying Capacity III,Valor Points,10,10,"[960000000,1900000000,2900000000,4800000000,8700000000,16900000000,28900000000,43000000000,67000000000,96000000000]",271060000000,128,31,[],Unlock
r129,Monsters I,Monsters I,Monsters' Cost IV,Valor Points,10,10,"[960000000,1900000000,2900000000,4800000000,8700000000,16900000000,28900000000,43000000000,67000000000,96000000000]",271060000000,129,33,[],Unlock
r130,Monsters I,Monsters I,Monsters VII,Valor Points,1,1,"[90000000000,null,null,null,null,null,null,null,null,null]",90000000000,130,35,[],Unlock
r131,Archeology,Archeology,Tar Production I,Valor Points,10,10,"[300,700,1800,4500,8900,22000,45000,90000,220000,450000]",843200,131,3,[],Unlock
r132,Archeology,Archeology,Tar Capacity I,Valor Points,10,10,"[300,700,1800,4500,8900,22000,45000,90000,220000,450000]",843200,132,5,[],Unlock
r133,Archeology,Archeology,Crypt Exploration Efficiency I,Valor Points,10,10,"[300,700,1800,4500,8900,22000,45000,90000,220000,450000]",843200,133,7,[],Unlock
r134,Archeology,Archeology,Crypts II,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,134,9,[],Unlock
r135,Archeology,Archeology,Tar Production II,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,135,11,"[""source-total-mismatch""]",Unlock
r136,Archeology,Archeology,Tar Capacity II,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,136,13,"[""source-total-mismatch""]",Unlock
r137,Archeology,Archeology,Chance to Explore Twice I,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,137,15,"[""source-total-mismatch""]",Unlock
r138,Archeology,Archeology,Crypt Exploration Cost I,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,138,17,"[""source-total-mismatch""]",Unlock
r139,Archeology,Archeology,Crypts III,Valor Points,1,1,"[8500000,null,null,null,null,null,null,null,null,null]",8500000,139,19,[],Unlock
r140,Archeology,Archeology,Tar Production III,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,140,21,[],Unlock
r141,Archeology,Archeology,Tar Capacity III,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,141,23,[],Unlock
r142,Archeology,Archeology,Crypt Exploration Efficiency II,Valor Points,10,10,"[700000,1400000,2100000,3500000,6400000,13000000,21000000,32000000,50000000,70000000]",200100000,142,25,[],Unlock
r143,Archeology,Archeology,Captain Carter,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,143,27,[],Unlock
r144,Archeology,Archeology,Crypts IV,Valor Points,1,1,"[80000000,null,null,null,null,null,null,null,null,null]",80000000,144,29,[],Unlock
r145,Archeology,Archeology,Crypt Exploration Efficiency III,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,145,31,[],Unlock
r146,Archeology,Archeology,Crypt Exploration Cost II,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,146,33,[],Unlock
r147,Archeology,Archeology,Chance to Explore Twice II,Valor Points,10,10,"[9600000,14000000,29000000,48000000,87000000,170000000,290000000,430000000,670000000,960000000]",2707600000,147,35,[],Unlock
r148,Archeology,Archeology,Crypts V,Valor Points,1,1,"[900000000,null,null,null,null,null,null,null,null,null]",900000000,148,37,[],Unlock
r149,Archeology,Archeology,Tar Capacity IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,149,39,[],Unlock
r150,Archeology,Archeology,Tar Production IV,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,150,41,[],Unlock
r151,Archeology,Archeology,Common Crypt Exploration Efficiency I,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,151,43,[],Unlock
r152,Archeology,Archeology,Common Crypt Exploration Cost I,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,152,45,[],Unlock
r153,Archeology,Archeology,Rare Crypt Exploration Efficiency I,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,153,47,[],Unlock
r154,Archeology,Archeology,Rare Crypt Exploration Cost I,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,154,49,[],Unlock
r155,Archeology,Archeology,Epic Crypt Exploration Efficiency I,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,155,51,[],Unlock
r156,Archeology,Archeology,Epic Crypt Exploration Cost I,Valor Points,10,10,"[120000000,230000000,350000000,580000000,1000000000,2100000000,3500000000,5200000000,8100000000,12000000000]",33180000000,156,53,[],Unlock
r157,Archeology,Archeology,Crypts VI,Valor Points,1,1,"[9000000000,null,null,null,null,null,null,null,null,null]",9000000000,157,55,[],Unlock
r158,Archeology,Archeology,Tar Production V,Valor Points,10,10,"[1700000000,3500000000,5200000000,8600000000,16000000000,31000000000,52000000000,78000000000,120000000000,170000000000]",486000000000,158,57,[],Unlock
